ID	Protein	logFC	AveExpr	t	P.Value	adj.P.Val	B
P10619	CTSA	0.212407129	3.352084394	4.499496617	0.003268877	0.602543293	-1.563131837
Q9H0F7-2	ARL 6.00	0.196990265	3.344942963	4.191296201	0.004682447	0.684301375	-1.659892071
Q14249	ENDOG	0.175682862	3.314710843	4.181535193	0.004737143	0.684301375	-1.68693658
P06703	S100A6	-0.263716885	3.299230778	-4.370178307	0.003794376	0.660705895	-1.707971482
Q07820	MCL1	-0.312206295	3.333875171	-4.145216535	0.004946949	0.686200475	-1.733633628
Q9P246-2	STIM2	-0.20043805	3.264996543	-4.16184456	0.004849643	0.684301375	-1.762800616
P14921-1	ETS1	-0.174165404	3.350364246	-4.377156458	0.003763739	0.660705895	-1.771446059
P51688	SGSH	0.400348004	3.327147981	4.053730084	0.005522434	0.69904408	-1.786147249
P15407	FOSL1	-0.339600537	3.251365442	-4.209592836	0.004581795	0.684301375	-1.801495373
P31431-1	SDC4	0.31570657	3.302826564	4.037586075	0.005631464	0.69904408	-1.824139537
Q15131-1	CDK10	-0.249233155	3.284703916	-4.024723747	0.005720032	0.69904408	-1.838501189
Q13163-1	MAP2K5	-0.273705943	3.322285132	-3.960704539	0.006184326	0.709775425	-1.887819658
P51178-2	PLCD1	0.150280073	3.329909306	4.020879901	0.005746798	0.69904408	-1.894393944
P18827	SDC1	0.386004137	3.255198517	4.018931688	0.005760416	0.69904408	-1.904632518
Q9UMS4	PRPF19	0.153249564	3.306753174	4.649791729	0.002757331	0.564149943	-1.921113004
P35269	GTF2F1	-0.140387903	3.336903477	-4.253184286	0.004351504	0.684301375	-1.929908895
P04114	APOB	-0.250804311	3.293793459	-4.119174037	0.005103713	0.696146422	-1.930776576
P25445-1	FAS	0.207945861	3.309891464	3.953622569	0.006238187	0.709775425	-1.937809926
Q8N1I0	DOCK4	-0.107640752	3.332004832	-4.48775034	0.003313105	0.602543293	-1.951273286
P62906	RPL10A	-0.090636111	3.26471289	-4.664223498	0.002713104	0.564149943	-1.993755569
P02774-3	GC	-1.016543946	3.135331306	-4.314502596	0.004048971	0.684301375	-1.993929309
Q9Y2J4-4	AMOTL2	-0.110101459	3.352449168	-4.174880828	0.004774836	0.684301375	-2.014427114
P60953	CDC42	0.11887627	3.308385085	4.207574346	0.00459278	0.684301375	-2.032671318
O14734	ACOT8	0.228853413	3.341790294	3.831495986	0.007253102	0.788213911	-2.055209407
Q3MII6-1	TBC1D25	-0.528119421	3.373872332	-3.79339078	0.007605916	0.788213911	-2.073247423
P36405	ARL 3.00	0.160533017	3.357590241	3.99454622	0.005933921	0.703814664	-2.121205288
Q9HAZ1	CLK4	-0.261709567	3.253913144	-3.720744327	0.008331885	0.841828998	-2.153581993
Q00653-1	NFKB2	-0.104807021	3.345542947	-4.242538316	0.004406539	0.684301375	-2.250779743
O43414-1	ERI3	0.359559579	3.379641525	3.78304534	0.007704926	0.788213911	-2.262191633
P24864-1	CCNE1	-0.212078343	3.291062899	-3.621317994	0.00945133	0.860126606	-2.26550923
Q9UBX1	CTSF	0.221292794	3.319793007	3.607855235	0.009615151	0.860126606	-2.283265
Q9Y4P1-2	ATG4B	0.196993746	3.360303362	3.78621233	0.007674467	0.788213911	-2.294264147
Q86Y56	DNAAF5	-0.103065143	3.350446618	-4.012123979	0.005808284	0.69904408	-2.315167491
Q96BJ3-1	AIDA	0.13874049	3.315333255	3.867202654	0.006938753	0.777900775	-2.330556734
P61163	ACTR1A	0.142281845	3.368826755	3.813739741	0.007415218	0.788213911	-2.359794477
Q9UGL1-2	KDM5B	0.145622495	3.296881865	3.803095525	0.007514306	0.788213911	-2.383983033
Q9H840	GEMIN7	0.311381691	3.356888876	3.565863375	0.010146371	0.860126606	-2.386001487
O95644-1	NFATC1	-0.330154956	3.249079035	-3.509143506	0.010915383	0.867922813	-2.398300184
Q8N3P4-1	VPS8	-0.08398159	3.337977083	-3.952815406	0.006244359	0.709775425	-2.428084844
Q15583	TGIF1	0.348804562	3.314590693	3.497983993	0.011074038	0.867922813	-2.436535829
P07858	CTSB	0.13624231	3.310871111	4.014810261	0.005789344	0.69904408	-2.443378362
O96013-1	PAK4	-0.209164288	3.335562097	-3.54957731	0.010360949	0.864730309	-2.503659851
Q330K2-1	NDUFAF6	0.435623494	3.403734017	3.394418993	0.012672119	0.933921906	-2.526868786
Q13277-1	STX3	0.160218556	3.28218387	3.540508002	0.010482584	0.864730309	-2.534620441
O00458	IFRD1	-0.189092458	3.315386859	-3.567604297	0.010123722	0.860126606	-2.543462594
Q8N884	CGAS	-0.123313184	3.308545529	-3.510632364	0.010894404	0.867922813	-2.585970241
P17050	NAGA	0.181374816	3.330862614	3.377292551	0.012959749	0.93631169	-2.589303121
Q53HV7-1	SMUG1	0.254244152	3.363307001	3.331687274	0.013760779	0.93631169	-2.590795459
Q92882	OSTF1	0.179427671	3.335317238	3.562173432	0.01019456	0.860126606	-2.610486904
P29034	S100A2	-0.386176942	3.299352688	-3.309867035	0.014162878	0.93631169	-2.615462399
Q9NR09	BIRC6	-0.07456168	3.334029734	-4.213753964	0.004559239	0.684301375	-2.641349561
P62857	RPS28	-0.10883581	3.325970221	-3.564514731	0.010163955	0.860126606	-2.664243116
O94830	DDHD2	0.105447231	3.341564252	3.633585863	0.009304702	0.860126606	-2.673473307
P01024	C3	-0.563504609	3.194437518	-3.260020968	0.015129948	0.93631169	-2.690149169
Q9Y2Q3-1	GSTK1	0.317329085	3.371527081	3.601974471	0.009687683	0.860126606	-2.69207185
O43172-1	PRPF4	0.079575881	3.330376456	4.015349724	0.005785548	0.69904408	-2.696551063
P19823	ITIH2	-0.404956905	3.262813976	-3.479543206	0.011341742	0.87566807	-2.701709927
O00512	BCL9	-0.241970076	3.329780935	-3.206071404	0.016257658	0.93631169	-2.731797776
O15360	FANCA	-0.097215942	3.33982574	-3.613239058	0.009549269	0.860126606	-2.73803458
Q8NFH4	NUP37	0.206533697	3.363350191	3.607570907	0.009618644	0.860126606	-2.752186143
O95551-2	TDP2	0.216077254	3.365477281	3.218518876	0.015989644	0.93631169	-2.797321455
P32856	STX2	0.292501778	3.254397357	3.230311618	0.015740122	0.93631169	-2.800112871
P01034	CST3	0.211232801	3.344793582	3.164971126	0.017177576	0.93631169	-2.820333891
P51955	NEK2	0.166577907	3.334884917	3.171850731	0.017019766	0.93631169	-2.822976243
Q9P0S2	COX16	0.21734919	3.348853253	3.125063677	0.018124637	0.938826488	-2.826338424
Q9NQE9	HINT3	0.168997532	3.329407302	3.189784475	0.016615683	0.93631169	-2.843428364
Q96IF1	AJUBA	0.221821154	3.33871536	3.299529939	0.014357793	0.93631169	-2.847934444
P62899	RPL31	-0.07834396	3.300598527	-3.640341421	0.009225021	0.860126606	-2.870017743
Q9Y5J7	TIMM9	-0.479239107	3.251594733	-3.234008826	0.01566276	0.93631169	-2.873656633
Q9GZV5	WWTR1	-0.16194549	3.309939537	-3.147168749	0.017593302	0.938826488	-2.880507548
Q562F6	SGO2	0.224492019	3.257344395	3.345151276	0.013518849	0.93631169	-2.890200378
Q9BQ90	KLHDC3	0.220085921	3.363420765	3.109148354	0.018517865	0.938826488	-2.896010092
Q96IK1	BOD1	-0.165857978	3.339978097	-3.33191002	0.013756739	0.93631169	-2.9195163
P28070	PSMB4	0.111974093	3.354638245	3.62308484	0.009430058	0.860126606	-2.924969676
Q16629	SRSF7	-0.179752976	3.294126237	-3.293060995	0.014481246	0.93631169	-2.930718091
Q8IWU2	LMTK2	0.165895794	3.301066598	3.155819371	0.017389953	0.93631169	-2.937990357
O14682	ENC1	-0.512550719	3.342292149	-3.082800745	0.019189141	0.940382812	-2.943626569
P24385	CCND1	-0.196462938	3.316190502	-3.051233968	0.020027969	0.965874181	-2.949920873
P51159-1	RAB27A	0.164599851	3.304534848	3.111468964	0.018459962	0.938826488	-2.9582653
Q92890-1	UFD1	0.147797637	3.337624562	3.41965216	0.012260893	0.920579313	-2.977967469
Q9BRT2	UQCC2	0.187527285	3.367400659	3.166464637	0.017143183	0.93631169	-2.980958905
P08473	MME	0.138966596	3.293575283	3.534346425	0.010566108	0.864730309	-2.984263413
P23634-1	ATP2B4	0.358965679	3.224683276	2.966998342	0.02246469	0.969021516	-3.001139428
Q9Y3D0	CIAO2B	-0.419788835	3.331225301	-3.085917433	0.019108389	0.940382812	-3.003943332
Q9BZM4	ULBP3	0.202752287	3.291017055	3.001076737	0.021442691	0.969021516	-3.006363364
O95835	LATS1	-0.092474209	3.330017142	-3.387890014	0.012780945	0.933921906	-3.034364181
Q9UGH3	SLC23A2	0.333888088	3.271645044	2.934264086	0.0234955	0.969021516	-3.043375092
Q9Y3C4-3	TPRKB	0.172791332	3.345399278	3.115543996	0.018358753	0.938826488	-3.046386221
P07711	CTSL	0.158130063	3.303063433	3.103538735	0.018658642	0.938826488	-3.069904311
Q9ULF5	SLC39A10	0.183980486	3.282347128	3.097065552	0.018822521	0.93928973	-3.073121835
P49815	TSC2	-0.079089134	3.342029829	-3.36652036	0.013144287	0.93631169	-3.073189688
Q9Y613	FHOD1	-0.111855468	3.329379362	-3.442522218	0.011900682	0.901807207	-3.08740723
P62306	SNRPF	0.247733027	3.300551049	3.043636449	0.020235676	0.965874181	-3.099263934
O95758-4	PTBP3	0.127400428	3.303013851	3.138257629	0.017805453	0.938826488	-3.105893777
Q96DE0	NUDT16	0.408034555	3.445224948	2.879682169	0.025328102	0.969021516	-3.108241178
Q8N2I9-4	STK40	-0.190681484	3.297555499	-2.883799746	0.025184681	0.969021516	-3.110220939
P48436	SOX9	-0.230230886	3.318741739	-2.874227406	0.02551944	0.969021516	-3.110265683
Q99653	CHP1	0.253867109	3.352164998	2.992414992	0.021697653	0.969021516	-3.136226107
O95373	IPO7	-0.077626549	3.332313108	-3.644929454	0.009171331	0.860126606	-3.14366891
Q9NWA0	MED9	-0.566163112	3.259003698	-2.852285274	0.026304774	0.969021516	-3.151809834
Q8WVY7	UBLCP1	0.1685077	3.354346097	3.313883531	0.014087918	0.93631169	-3.15240678
Q9NPA3	MID1IP1	-0.161499926	3.343875338	-2.905540147	0.024441626	0.969021516	-3.158568321
Q56NI9	ESCO2	0.10628663	3.314881453	3.182386022	0.016781118	0.93631169	-3.170364178
Q8IWA5-2	SLC44A2	0.233726547	3.336347972	2.996208475	0.021585593	0.969021516	-3.173725774
O14832	PHYH	0.12061993	3.32162836	3.251952795	0.015293084	0.93631169	-3.202286863
P62263	RPS14	-0.105542511	3.313236985	-3.316877519	0.01403232	0.93631169	-3.203291765
Q9H6E4	CCDC134	0.195198037	3.294979138	3.083975981	0.019158648	0.940382812	-3.209471067
P53814-5	SMTN	-0.133497888	3.335802792	-3.164687532	0.017184115	0.93631169	-3.213274996
O00567	NOP56	-0.14037594	3.25189129	-3.562859672	0.010185579	0.860126606	-3.218363291
Q9Y2K5-1	R3HDM2	-0.319221701	3.229539757	-2.769241214	0.029517329	0.980500362	-3.221822576
Q9Y2Q5-2	LAMTOR2	0.12545758	3.33279227	2.915183142	0.024119549	0.969021516	-3.230116595
Q9UID3-1	VPS51	-0.136472736	3.345798389	-3.254725037	0.015236817	0.93631169	-3.24484068
Q9NYJ1-2	COA4	-0.511932638	3.173134569	-2.958380739	0.022731292	0.969021516	-3.249432421
O75319-1	DUSP11	0.152093903	3.324311499	2.961006905	0.022649691	0.969021516	-3.260699784
Q8NCM8-2	DYNC2H1	-0.076030989	3.337392214	-3.595421206	0.009769213	0.860126606	-3.27220882
Q9H063	MAF 1.00	0.158200673	3.371393848	2.821526331	0.027449177	0.978130536	-3.275724832
P56377	AP1S2	-0.163370247	3.331018739	-2.855093639	0.026202841	0.969021516	-3.283418719
P53350	PLK1	-0.08839678	3.302277182	-3.249288117	0.01534738	0.93631169	-3.291013913
P19801-2	AOC1	0.219542268	3.324047581	2.711587525	0.031990314	0.980500362	-3.293278263
P63244	RACK1	0.064882253	3.345190973	3.799684524	0.007546366	0.788213911	-3.295276827
Q7Z2W4	ZC3HAV1	0.083385392	3.318230271	3.189710083	0.016617338	0.93631169	-3.307465058
Q14679	TTLL4	-0.146874172	3.313879811	-2.877074386	0.025419385	0.969021516	-3.328676805
Q06033-1	ITIH3	-0.257111065	3.292046953	-2.673669676	0.03373522	0.980500362	-3.328896422
O43809	NUDT21	0.413117088	3.409658435	3.120694515	0.018231686	0.938826488	-3.345572203
P19532	TFE3	-0.227790368	3.33704021	-2.816098218	0.02765656	0.978130536	-3.352352546
P08236	GUSB	0.152149601	3.316362065	2.904928448	0.02446221	0.969021516	-3.35720618
P12259	F5	0.181048008	3.335999474	2.770097941	0.029482142	0.980500362	-3.363506995
Q6YHK3-1	CD109	0.173554103	3.317629256	2.692835057	0.032841066	0.980500362	-3.372364713
O43592	XPOT	-0.177446093	3.352279293	-3.338133078	0.013644376	0.93631169	-3.386608495
Q9H488-1	POFUT1	0.126727954	3.330167007	3.238103427	0.015577563	0.93631169	-3.387268023
Q8IY37	DHX37	-0.077756816	3.303790854	-3.178027269	0.016879413	0.93631169	-3.389326299
P22033	MMUT	0.091614608	3.353914974	3.158327973	0.017331458	0.93631169	-3.398106617
P50897	PPT1	0.116171458	3.334074251	3.009747059	0.021190684	0.969021516	-3.39940677
Q9H0N5	PCBD2	0.177284326	3.313651875	2.688550979	0.033038749	0.980500362	-3.404395948
Q9NYV6	RRN3	-0.103579091	3.303775692	-3.038094401	0.020388644	0.965874181	-3.41965687
Q8TB40	ABHD4	0.269467497	3.342999528	2.586825774	0.038119581	0.980500362	-3.429343019
Q8IV63	VRK3	0.186911963	3.304969511	2.70925746	0.032094747	0.980500362	-3.4294769
P15880	RPS2	-0.114224825	3.308318268	-3.49371638	0.011135373	0.867922813	-3.434444493
Q13907	IDI1	0.203351795	3.365531085	3.032817431	0.020535448	0.965874181	-3.439839865
Q7Z3E5	ARMC9	-0.089070006	3.352458019	-3.001701204	0.021424434	0.969021516	-3.440570845
O60216	RAD21	0.091776227	3.301442215	3.323506072	0.013910073	0.93631169	-3.456152699
Q96HC4	PDLIM5	-0.086012325	3.327668808	-3.158800983	0.017320452	0.93631169	-3.456540924
Q6NUK1	SLC25A24	0.165052187	3.354326754	3.163555544	0.017210243	0.93631169	-3.460083605
P36941-1	LTBR	0.312982322	3.260235463	2.560625177	0.039556614	0.980500362	-3.461111112
Q9UL33-1	TRAPPC2L	0.191251628	3.392807819	2.689840386	0.032979119	0.980500362	-3.463234134
Q16540	MRPL23	0.259545653	3.385551359	2.665388759	0.034129458	0.980500362	-3.464587587
P54709	ATP1B3	0.259026264	3.23211251	3.048014669	0.0201157	0.965874181	-3.465114796
P16591-1	FER	-0.213291492	3.250992281	-3.035863988	0.020450556	0.965874181	-3.485379933
P62910	RPL32	-0.09172246	3.29068586	-3.50841624	0.010925647	0.867922813	-3.48605151
Q9HD47	RANGRF	-0.13188591	3.350669031	-2.704117123	0.032326409	0.980500362	-3.490175211
P30041	PRDX6	0.212155433	3.358110509	3.456220932	0.011690443	0.894154979	-3.492601247
Q9H0E9-2	BRD8	0.086518242	3.287111483	3.12379938	0.018155544	0.938826488	-3.497013784
Q8NDN9	RCBTB1	0.231505164	3.319902185	2.54929438	0.040195517	0.980500362	-3.502216874
Q9UNY4-1	TTF2	-0.067283891	3.33200233	-3.191215616	0.016583885	0.93631169	-3.503292567
Q9H892	TTC12	-0.118251895	3.304595018	-2.91232283	0.024214609	0.969021516	-3.504089314
Q15545	TAF7	-0.084272896	3.308948067	-2.939199123	0.023336916	0.969021516	-3.511710103
Q96DN5-1	TBC1D31	0.103466411	3.338437567	2.843283545	0.02663435	0.969021516	-3.525878176
P68402-1	PAFAH1B2	0.144869504	3.337591596	2.754756648	0.030119002	0.980500362	-3.528948829
Q96BS2-1	TESC	0.297514706	3.334352404	2.493842083	0.043481253	0.980500362	-3.531125188
P41220-1	RGS2	-0.394686017	3.278464141	-2.596667968	0.037593973	0.980500362	-3.542698946
P16949-2	STMN1	-0.152807089	3.296646529	-3.356274814	0.01332245	0.93631169	-3.543829457
O75323-1	NIPSNAP2	0.275021371	3.393114316	2.827713769	0.027214794	0.978130536	-3.547034397
P46013	MKI67	0.208519291	3.259576163	3.05650889	0.019885104	0.965874181	-3.562932961
Q5SXM2	SNAPC4	-0.118775662	3.336897525	-2.924739161	0.023804836	0.969021516	-3.564593905
Q7L622	G2E3	0.185537507	3.268833629	2.649060262	0.03492109	0.980500362	-3.565710641
Q2M1P5	KIF7	-0.103569013	3.341119254	-2.802860365	0.028169317	0.978130536	-3.567678559
P42025	ACTR1B	0.160955848	3.357375675	2.618134801	0.036473738	0.980500362	-3.570367349
Q5XKP0	MICOS13	0.181213897	3.313375911	2.601400945	0.037343923	0.980500362	-3.572040441
Q6AZZ1	TRIM68	0.151620763	3.352841454	2.597455809	0.037552229	0.980500362	-3.576367413
Q6TFL4-1	KLHL24	0.195236747	3.370102186	2.480711103	0.044299514	0.980500362	-3.576585105
P61224-1	RAP1B	0.161111333	3.281528863	2.891215008	0.024928571	0.969021516	-3.578941005
Q96GD4-5	AURKB	-0.082434377	3.295516362	-2.949634883	0.023005319	0.969021516	-3.590638239
Q8N4T4-1	ARHGEF39	0.366129812	3.26798486	2.432627721	0.047434947	0.980500362	-3.60073811
Q5MNZ6	WDR45B	0.15756013	3.31160401	2.613487066	0.036713274	0.980500362	-3.60627764
P62253	UBE2G1	0.124429707	3.351415891	2.829595229	0.027143945	0.978130536	-3.607044374
Q9Y4R8	TELO2	-0.118133632	3.342867458	-3.009475215	0.021198537	0.969021516	-3.608312497
Q14669-2	TRIP12	-0.081102817	3.317856823	-3.254543764	0.015240489	0.93631169	-3.610765021
Q9H999	PANK3	0.168907996	3.352581124	2.535388497	0.040994378	0.980500362	-3.616095845
P46379-3	BAG6	-0.115687851	3.332526856	-3.178372664	0.016871602	0.93631169	-3.618472856
Q9Y5J9	TIMM8B	-0.157373024	3.290386423	-2.501088345	0.043036448	0.980500362	-3.618571038
P51668	UBE2D1	0.253773534	3.395555247	2.446587001	0.046501653	0.980500362	-3.619912191
Q8WTS1	ABHD5	0.222351716	3.367845683	2.405549906	0.049301051	0.980500362	-3.621915036
Q6DD87	ZNF787	-0.221904863	3.334770843	-2.421286506	0.048207482	0.980500362	-3.63143446
P01106-2	MYC	-0.237953657	3.252062247	-2.467250959	0.045154916	0.980500362	-3.638151706
Q7Z6J0-1	SH3RF1	-0.100098806	3.32769431	-2.728539026	0.03124126	0.980500362	-3.638958814
Q9NZN5	ARHGEF12	0.281175146	3.289188193	2.381926116	0.050991091	0.980500362	-3.647198692
Q06481-6	APLP2	0.138275914	3.303274361	3.183374862	0.016758904	0.93631169	-3.652536958
Q12834	CDC20	-0.108711191	3.338067837	-2.877958429	0.025388401	0.969021516	-3.656824763
Q6QHF9	PAOX	0.163524442	3.355785366	2.474359012	0.044701076	0.980500362	-3.661017718
Q8N1A6	C4orf33	0.404675552	3.451928447	2.367393969	0.052060324	0.980500362	-3.661566361
P26196	DDX6	0.104094878	3.304462488	3.187383902	0.016669168	0.93631169	-3.668277729
Q7L8J4	SH3BP5L	-0.111980347	3.348912916	-2.797092713	0.028395864	0.978130536	-3.679425591
Q15528-1	MED22	-0.170710032	3.331971055	-2.493607243	0.043495748	0.980500362	-3.681157995
P25963	NFKBIA	0.175044977	3.353751847	2.519223178	0.041943901	0.980500362	-3.684674285
O60231	DHX16	-0.060162903	3.313094413	-3.104777846	0.018627447	0.938826488	-3.685984027
Q16718	NDUFA5	0.118778798	3.335266153	2.55127747	0.040082924	0.980500362	-3.693007204
Q9NSI2-1	FAM207A	-0.149919663	3.341049111	-2.503564676	0.042885529	0.980500362	-3.6996347
Q7Z6Z7-2	HUWE1	-0.074378054	3.338466982	-3.610474519	0.009583037	0.860126606	-3.702588901
O95183	VAMP5	0.222676032	3.283143735	2.429363513	0.047655974	0.980500362	-3.709505356
P15260	IFNGR1	0.23687643	3.272637599	2.615876879	0.036589902	0.980500362	-3.712110403
Q2M3G4-1	SHROOM1	-0.130990687	3.35073127	-2.641053911	0.03531628	0.980500362	-3.712765888
P63218	GNG5	0.306912883	3.297845973	2.493222839	0.043519486	0.980500362	-3.719584729
Q9UFG5	C19orf25	-0.337799098	3.286464489	-2.328237153	0.055057865	0.980500362	-3.720910155
Q9BZ95	NSD3	-0.084619288	3.311340323	-3.002260502	0.021408096	0.969021516	-3.723167755
Q86SX3-1	TEDC1	-0.321361114	3.326006565	-2.315974733	0.05603264	0.980500362	-3.726768596
Q14680	MELK	-0.112316202	3.325767365	-2.871891237	0.025601855	0.969021516	-3.730649983
P48200	IREB2	0.22911986	3.316051446	2.40980828	0.049002619	0.980500362	-3.73208412
Q9BRJ7-1	NUDT16L1	0.248008999	3.393368135	2.57662194	0.03867263	0.980500362	-3.732632047
Q14690	PDCD11	-0.103208417	3.265326514	-3.409280632	0.012428137	0.924653394	-3.741376321
Q96BN2	TADA1	0.101067713	3.336256347	2.594629892	0.037702187	0.980500362	-3.750480264
Q9NUS5	AP5S1	-0.305602248	3.348305767	-2.342973	0.053909487	0.980500362	-3.752878534
Q9H0I2-1	ENKD1	-0.219664871	3.358696181	-2.321579896	0.055584889	0.980500362	-3.757190233
P60033	CD81	0.170520137	3.25444064	2.519030474	0.041955358	0.980500362	-3.759154837
P35318	ADM	0.25984994	3.256166947	2.319109166	0.055781801	0.980500362	-3.759352892
Q8IVV7	GID4	0.153989795	3.335566542	2.449750908	0.046292779	0.980500362	-3.763992235
P61106	RAB14	0.086806429	3.310273064	2.971672716	0.022321478	0.969021516	-3.764684453
P25942-1	CD40	0.247514616	3.250523882	2.341459884	0.054026262	0.980500362	-3.769460833
Q86U44	METTL3	-0.071919459	3.339068571	-2.915650332	0.02410406	0.969021516	-3.7695705
Q9BZM5	ULBP2	0.272271389	3.273664239	2.318956976	0.055793953	0.980500362	-3.775174428
A6ZKI3	RTL8C	0.334767635	3.402389626	2.26264305	0.060482425	0.980500362	-3.781483976
Q9NVS9	PNPO	0.115426884	3.355905203	2.740181089	0.030737558	0.980500362	-3.785136105
P48730-2	CSNK1D	-0.174701441	3.313737616	-2.368299266	0.051993044	0.980500362	-3.789560503
Q9Y6I7	WSB1	0.211630827	3.373889855	2.268679996	0.059961073	0.980500362	-3.794868987
Q8N6N7	ACBD7	-0.47614274	3.263770324	-2.24875304	0.061699632	0.980500362	-3.801203353
Q9UHV7	MED13	0.097896701	3.305670109	2.847884595	0.026465349	0.969021516	-3.806866442
Q9NRG1	PRTFDC1	0.188066844	3.37019138	2.596628317	0.037596075	0.980500362	-3.810510866
Q9H7F0-1	ATP13A3	0.122705332	3.326409805	2.868210902	0.025732266	0.969021516	-3.812362343
Q52LA3	LIN52	-0.19855123	3.320182464	-2.364017487	0.052312049	0.980500362	-3.812780187
Q96EQ0	SGTB	-0.090320417	3.345962335	-2.694388962	0.032769671	0.980500362	-3.816712918
O75934	BCAS2	0.070585205	3.310377265	2.918184355	0.024020234	0.969021516	-3.820605838
Q6Y288	B3GLCT	0.077586271	3.321589205	2.77372114	0.029333822	0.980500362	-3.823192318
P0C870	JMJD7	0.28596423	3.391663884	2.212464472	0.064998975	0.980500362	-3.828078113
P62861	FAU	-0.177551749	3.227026276	-2.532205888	0.04117953	0.980500362	-3.839769678
P60866	RPS20	-0.077337347	3.329347866	-2.865835558	0.025816809	0.969021516	-3.842206432
Q8IX03-2	WWC1	-0.070509339	3.344440402	-2.939425501	0.023329669	0.969021516	-3.842325336
Q9NY35-1	CLDND1	0.239481152	3.248910924	2.344481465	0.05379333	0.980500362	-3.855680416
